XMMC,FZR,DWMC,XMJJ,XMJB,ND
采煤机械截齿用低相变点高硬度耐磨堆焊焊条的研制,汤立松,承德石油高等专科学校,         截齿是采煤机和掘进机上用来切割煤层和凿岩的主要工具，由于采煤工况环境恶劣，采煤机械截齿长期处于高载荷、高冲击、高磨损的工作条件下，截齿失效严重，磨损是造成截齿失效最主要形式，截齿过早磨损失效会造成采煤机械硬质合金刀头脱落、碎裂，致使每万吨采煤量截齿消耗居高不下，严重影响采煤作业效率，加大采煤成本。因此增加截齿的耐磨性，提高其使用寿命具有重大意义。国内外已经研制了多种截齿耐磨堆焊材料，这些焊条虽然在耐磨方面满足了要求，但在制作成本、工艺性能以及对环境等方面都存在着不同的缺陷。因此，研究具有高硬度、高耐磨、抗裂性能良好且制作成本低廉的堆焊焊条具有重要实际生产应用价值。本研究基于低成本为出发点，以提高截齿堆焊层耐磨性为主要目的及本着使用简单合金系的原则，拟通过添加C、Cr、Si、B、Mn、Ti等合金元素，通过这几种元素的添加，降低堆焊层马氏体温度转变点，增加堆焊层抗裂性能，研制一种新型的高硬度、高耐磨、高抗裂性的Fe-Cr-B-C系耐磨堆焊焊条。,省级,2018
酶法生产VC棕榈酸酯,汤鲁宏,承德普润生物制药有限公司,"Vc棕榈酸酯是L-抗坏血酸与棕榈酸结合而成的脂，一种新型“绿色”、多功能抗氧化剂和营养强化剂。是世界卫生组织（WHO）食品药品联合委员会认可的营养型抗氧化剂，并为英国、美国药典收载，是我国唯一可用于婴幼儿食品的抗氧化剂，已被广泛应用于食品、医药、化妆品和纸制品等领域。
目前，Vc棕榈酸酯的工业化生产均采用化学合成法，而化学合成法生产过程中要用强腐蚀性的浓硫酸和氟化氢做催化剂，在分离纯化酯时需要氯仿、甲苯等有毒溶剂，同时化学合成法还存在着易生成副产物、分离纯化复杂、投资成本大、易污染环境等缺点。
本项目以《减压共沸连续除水耦合模拟移动床连续分离的酯类非水相酶促合成、分离及提取新工艺》专利为核心技术，采用固定化脂肪酶为催化剂，以L-抗坏血酸和棕榈酸为原料，以叔丁醇、环己烷为反应介质，采用减压共沸连续除水的脂类酶法清洁生产技术，生产等同天然产品的Vc棕榈酸酯。项目研究主要解决专利技术在实际生产中涉及的关键技术问题，优化生产工艺，生产高质量的Vc棕榈酸酯。通过项目研究，实现我国酶法生产Vc棕榈酸酯的产业化，提高Vc棕榈酸酯的品质，解决该产品生产过程中的环境污染等问题。",省级,2016
鹿岛V创空间,陶建辉,河北鹿岛众创空间有限公司,在现有众创空间创新创业服务的基础上，进一步完善空间场地和公共基础设施、完善创新创业服务体系和提升创新创业服务能力和成效；投入经费用于增加孵化场地面积、完善公共配套设施和提升双创服务能力；项目完成后使孵化场地面积达到3000平方米、入驻创业项目和团队达到30家、开展各项创新创业服务活动不少于10次。,省级,2017
新自媒体技术服务平台,陶建辉,石家庄云智科创企业孵化器有限公司,"1、平台背景：短视频制作和营销作为企业产品和品牌推广的社会化营销的一种方式，逐渐代替传统营销模式成为一种主流的营销方式；短视频营销所花费的成本和预算相对低廉，尤其适合资源有限的中小微企业采用。同时，基于短视频技术和服务的新媒体领域创业也成为当前创新创业的一个方向。
2、平台内容：搭建“新自媒体技术服务平台”，以“短视频制作技术和营销”为主要服务内容，建设“摄影室”、“直播间”和“视频制作室”，购置摄影和视频直播设备，制定包括“短视频制作技术培训与服务”、“短视频营销策划与推广”、“短视频直播人才培育服务”、“新媒体创新创业服务”在内的全程服务体系。
3、平台意义：通过提供自媒体短视频制作的设施设备共享、技术培训服务、营销方案策划与实施等服务，将促进初创科技型小微企业适应新形势下的营销模式，使其产品和服务快速进入市场。通过平台运营，可以支持短视频领域的创新创业活动。",省级,2019
羊肚菌产业技术提升,陶少勇,宁晋县坤元农业科技有限责任公司,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""line-height: 21px; font-size: 14px;""><span style=""line-height: 21px; font-family: 宋体; font-size: 16px;""></span></span>本项目以河北宁晋省级农业科技园区为依托，开展“羊肚菌产业技术提升”<span style=""font-family:宋体"">，共有</span><span style=""font-family:宋体"">5项技术在示范基地内集成体现。分别是：羊肚菌优良品种引进与示范、羊肚菌优质菌种生产技术集成与示范、羊肚菌安全高效栽培关键技术集成与示范、FD羊肚菌汤加工示范。通过示范基地的建设，将现有的羊肚菌生产加工技术经过创新集成，实现羊肚菌产业化，打造</span>“廮有晋有”<span style=""font-family:宋体"">品牌，推动我省珍稀羊肚菌产业的发展。并且以点带面，把集成技术成果向周边辐射，为优质、高效、绿色的食用菌生产起引领、示范的作用。项目完成后，集成羊肚菌产业技术体系</span><span style=""font-family:宋体"">1个</span>；<span style=""font-family:宋体"">组建</span><span style=""font-family:宋体"">1支羊肚菌产业科技创新人才团队</span>；<span style=""font-family:宋体"">集成羊肚菌生产技术规范</span><span style=""font-family:宋体"">1套</span>；<span style=""font-family:宋体"">建立</span><span style=""font-family:宋体"">1个羊肚菌产业科技示范基地</span>；<span style=""font-family:宋体"">形成</span><span style=""font-family:宋体"">1个羊肚菌生产加工典型案例。</span></p>",省级,2021
1500MPa及以上级热冲压成形高强汽车用钢基料研究及制造技术,陶维纯,唐山钢铁集团有限责任公司,近年来，为减轻零部件重量，提高车身防撞能力，热冲压成形钢材料开始应用到汽车制造中，典型牌号22MnB5等，此类钢材经热冲压成形工艺加工处理后，强度可达1500MPa以上。高强度热冲压成形钢主要用于生产轿车车身结构中对强度要求高的部件，如门内侧梁、柱、车身纵梁和横梁、门槛、保险杠等，这些部件的强度级别直接关系轿车的安全性能。目前，常用热冲压成形用钢材料主要有热轧板、热轧酸洗板，热轧板经热轧后可直接使用，酸洗板是将热轧板表面酸洗处理，去除表面氧化铁皮后更适合后序加工处理。,省级,2016
玉米种质资源鉴定评价与创新应用,陶勇生,河北农业大学,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span>河北省是我国玉米生产的主产区，种植面积约5,000万亩。根据河北省科技厅“现代种业科技创新专项”指南，我们将围绕玉米种质资源精准鉴定创新及利用，开展玉米前沿育种技术创新和应用培育适应河北省的玉米新品种。拟从三方面开展工作：(1)对收集国内外2,000份玉米种质资源多环境下进行田间表型鉴定，表型主要包括株型、生育期、穗型、粒深、籽粒脱水率、品质、抗病、抗倒、抗旱性状；(2)使用连锁分析和全基因组关联分析(GWAS)进行上述目标性状的QTL定位，筛选和聚合最优等位基因种质用于育种。(3)利用创制种质材料采用全基因组选择技术进行玉米杂种优势预测，培育具有自主知识产权的优良新品种或新组合。通过上述研究实现精准鉴定和创制一批具有重大应用价值的突破性新种质，培育一批具有自主知识产权的优良新品种，使我省种业自主创新能力和市场竞争力达到国内先进水平，部分达到国内领先水平。</p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span><br></p>",省级,2021
营养液精准管控水培韭菜装备引进与创新,田东良,石家庄市农林科学研究院,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""><span style=""font-family: 宋体; font-size: 16px;""><span style=""font-family: 宋体; font-size: 16px;""></span></span></span></p><p style=""margin-bottom: 0px; text-indent: 32px; font-size: 16px; font-family: 宋体, SimSun; margin-top: 0px;""><span style=""color:black"">针对目前我省韭菜种植业韭蛆防治困难、农药残留严重、栽培管理自动化程度低、水肥盲目利用等问题，引进北京市农科院蔬菜研究中心封闭式韭菜营养液水培系统，该系统采用营养液水培、一次播种、不用移栽、连续采收的方式，具有杜绝韭蛆发生、省工的特点。项目拟引进封闭式韭菜营养液水培系统，根据设施条件构建、优化栽培系统；引进水培韭菜播种装备，研究提升精量播种技术；利用环境精准调控装备，研究设施环境与现代农艺耦合技术；引进营养液诊断和调配系统，改善精准调整、自动化调配技术水平；最终形成水培韭菜营养液精准管控技术体系，实现自动化作业。在河北赵县省级农业科技园区建立标准化基地，进行系统装备配套技术应用示范，实现水培韭菜生产的精准化、信息化、安全化，为我省韭菜产业发展提供技术支撑。</span></p><p style=""margin-bottom: 0px; text-indent: 32px; font-variant-ligatures: normal; font-variant-caps: normal; orphans: 2; text-align: start; widows: 2; -webkit-text-stroke-width: 0px; word-spacing: 0px; font-size: 16px; font-family: 宋体, SimSun; margin-top: 0px;""><span style=""color:black"">项目集成1套封闭式营养液水培韭菜产业技术体系；组建1支营养液水培韭菜产业科技创新人才团队；培育1个适于开展营养液水培韭菜生产的科技型龙头企业；编制1套水培韭菜技术规范；建立1个营养液水培韭菜产业科技示范基地；形成1个营养液水培韭菜典型案例。</span></p><p style=""margin-bottom: 0px; text-indent: 32px; font-size: 16px; font-family: 宋体, SimSun; margin-top: 0px;""><span style=""color:black"">本项目符合优先支持园区主导产业技术集成与示范和绩效总目标中指标类别覆盖齐全项目。</span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""><span style=""font-family: 宋体; font-size: 16px;""><span style=""font-family: 宋体; font-size: 16px;""></span></span></span><br></p><p style=""font-family: 宋体, SimSun; font-size: 16px; margin-top: 0px; margin-bottom: 0px;""><span style=""font-family: 宋体;""></span><br></p><p style=""font-family: 宋体, SimSun; font-size: 16px; margin-top: 0px; margin-bottom: 0px;""><span style=""font-family: 宋体, SimSun; font-size: 16px;""></span><br></p><p style=""font-family: 宋体, SimSun; font-size: 16px; margin-top: 0px; margin-bottom: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span><br></p>",省级,2021
基于约束误差的少自由度并联机构运动性能研究,田东兴,北华航天工业学院,     本项目拟采用螺旋理论对少自由度并联机构的运动瞬时性进行分析，提出并联机构瞬时运动分析几何方法 ，得到主动避免瞬时运动的少自由度并联机构设计准则；通过分析少自由度并联机构的全局条件数、全局速度指标、全局刚度指标以及空间利用率指标与少自由度并联机构杆件尺寸参数之间的关系，并绘制了相应的性能图谱。以一种新的空间利用率指标，以少自由度并联机构最大规则形状灵活工作空间与整个机构占地面积之比作为空间利用率；通过分析少自由度并联机构的误差，奇异位形以及外在扰动等因素对少自由度并联机构的动态稳定性之间的关系，得到少自由度并联机构在特定的约束空间内的性能优化函数，为少自由度并联机构在实际环境中的应用奠定理论基础。,省级,2017
基于大数据分析的药械安全质控信息系统,田建军,河北博健科技有限公司,    本项目以现已实施的药械数据库和药械信息管理系统为基础，采用大数据、人工智能等计算机信息处理技术，根据药械产品安全质量管控面临的问题和特点，研发药械数据关联分析方法和基于数据分析的智能化管理算法，实现药械产品从药械产品生产、出厂、储运、医疗使用到报废销毁的全周期、全过程、全流程安全质量管控信息系统，为药械产品生产与经营、医院及诊所等各级各类医疗机构和政府药械监管部门提供智能化管控手段，也为药械产品有关部门和社会各界提供了全过程、全流程的药械产品安全公共信息平台。同时，该系统的研发应用，也为下一步开展食品安全质量管控研究，实现食品全周期、全过程安全质量管控提供有借鉴意义和参考价值的范例和经验。,省级,2016
基于大数据分析的医疗器械信息管理系统开发,田建军,河北博健科技有限公司,"本项目以我公司多年来开发的医疗器械经营企业信息管理系统为基础，通过整合医院和供应商的采购供应信息管理系统，开发多数据库关联分析算法，利用大数据、人工智能算法等计算机信息处理技术，搭建一个医院与医疗器械供应商互联互通、数据信息共享、资源整合的系统，该系统能够完整地追溯医疗器械从生产、流通再到消费者的每个环节，并能够实时采集到各个环节的数据信息，打通了医疗器械批发企业和医疗机构等多个关键节点，实现了对医疗器械的销售、交接、运输、贮存、进货、零售等记录进行全面管理和产品质量的完整追溯。
本系统能够提供医疗器械流通大数据信息共享，医院和医疗器械供应商可以在第一时间对最关心的数据进行分析，提高了医院对医疗器械产品管控和追溯能力，提升了供应商的供应效率，降低了医院采购成本，医院的医疗器械管理部门能够监管医疗器械产品全程流通信息和服务质量，对医疗器械产品的质量安全把关，提高管理效率，全面提升医院医疗器械流通信息管理水平，同时也为政府医疗器械监管部门对医院医疗器械产品的追溯提供了有针对性的智能化监管手段。",省级,2018
大球盖菇不同温度型优良菌株的选育,田景花,河北农业大学,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;"">&nbsp; &nbsp;<span style=""font-family: 宋体; font-size: 18px;"">&nbsp;<span style=""color: #333333; letter-spacing: 1px;"">大球盖菇在我国规模化栽培仅</span><span style=""font-family: &quot;PingFang SC&quot;, serif; color: #333333; letter-spacing: 1px;"">5</span><span style=""color: #333333; letter-spacing: 1px;"">年左右，目前在福建、江西、四川、黑龙江、湖北、贵州、河北等省面积较大。</span><span style=""font-family: &quot;PingFang SC&quot;, serif; color: #333333; letter-spacing: 1px;"">2019</span><span style=""color: #333333; letter-spacing: 1px;"">年全国大球盖菇种植面积超过</span><span style=""font-family: &quot;PingFang SC&quot;, serif; color: #333333; letter-spacing: 1px;"">2</span><span style=""color: #333333; letter-spacing: 1px;"">万亩，价格高效益好，深受菇农和消费者青睐，具有广阔的发展前景。目前大球盖菇优良品种</span><span style=""letter-spacing: 1px;"">少，产量较低，为了解决生产上初秋早播菌丝不耐高温、晚秋播种来年夏初子实体易开伞以及低温时段停止出菇造成出菇期短等问题，本研究采用杂交育种和诱变育种手段，首先引进大球盖菇品种，了解品种间</span>亲缘关系，调查<span style=""letter-spacing: 1px;"">各品种菌丝体阶段和子实体阶段对极限温度的耐受力，筛选出适温范围广、产量较高、品质较好的品种作为杂交育种的亲本（</span>亲缘关系较远<span style=""letter-spacing: 1px;"">）和诱变育种的出发菌株。</span>分别进行单孢杂交和单孢诱变杂交，筛选出有效杂交菌株。分别于菌丝体阶段和子实体阶段（液体培养基出菇试验）测定各新菌株<span style=""letter-spacing: 1px;"">对极限温度的耐受力</span>，选择其中对低温或高温耐受能力强的菌株进行田间出菇试验。为了解不同温度下的出菇情况，每个栽培季节进行多批次栽培，观测各菌株子实体阶段在低温和高温时期的出菇情况，结合产量、品质和农艺性状，筛选出<span style=""letter-spacing: 1px;"">适温范围广、耐低温或耐高温能力强的优良品种</span>。研究新<span style=""letter-spacing: 1px;"">品种</span>的生物学特性，总结出不同温度型大球盖菇的配套栽培技术。</span></span><br></p>",省级,2020
杂粮杂豆现代种业科技创新团队,田静,河北省农林科学院粮油作物研究所,本项目以食用豆、燕麦、水稻、高粱、胡麻和藜麦为研究对象，以攻克种源“卡脖子”技术、推动种业高质量发展为主要目标，组建河北省杂粮杂豆现代种业科技创新团队。创新团队重点围绕种质资源精准鉴定与现代育种技术研发、适宜机械化轻简栽培高产多抗种质创新与品种选育、优质专用种质创新与新品种选育、新品种良种繁育、示范应用与产业化开发等内容开展联合攻关，精准鉴定与创制一批抗病虫、抗逆、产量、机械化生产、食用品质、营养品质和加工品质等特性突出的新种质，培育一批具有自主知识产权、聚合目标性状的优良新品种，培植杂粮杂豆种业龙头企业，提升我省杂粮杂豆种业自主创新能力和市场竞争力。项目由河北省农林科学院粮油作物研究所主持，合作单位为河北省农林科学院滨海农业研究所、河北农业大学、国家半干旱农业工程技术研究中心、张家口市农业科学院，项目实施将解决我省杂粮杂豆作物产量低、抗性差、不宜机械化管理等突出品种问题及优质专用品种缺乏、育种技术滞后、育种效率低等的产业发展瓶颈问题，实现我省杂粮杂豆种业的“六个一”目标，形成现代种业发展新格局，引领我省杂粮杂豆产业和种业的高质量发展。,省级,2021
大型隧道用防水产品专用成套生产设备研发,田丽,衡水中裕铁信防水技术有限公司,"      项目针对新型隧道防排水材料的结构及物理性能要求，需要研发一条新型功能生产线，即大型隧道用防水产品专用成套设备，要求设备具备自动配料、自动控制，自动成型，自动控厚检测、自动打卷，自动码垛等自动化程度非常高的生产线，只需要将数据输入，即可通过系统控制实现一系列的功能及性能。
    在河北科技大学的帮助下，我们共同研究共同设计，对需要严格控制的环节重点分析，采用数控，微机控制，数据反馈系统等一系列新技术的引用，研发出该条生产设备。通过设备的改造使用，为企业创造更多的经济效益，为防水行业的发展做出贡献。",省级,2017
大方坯连铸机大倒角结晶器及重压下技术研发,田新中,邢台钢铁有限责任公司,"     本项目拟以我司典型特殊钢、线材等为研究对象，建立大断面方坯中心V型偏析的空间构形，并采用物理实验分析和数值模拟的方法，揭示V型偏析的形成机理，探明V型偏析产生的关键影响因素（或条件）。
    通过凝固过程控制工艺技术的研究，开发复合大倒角结晶器技术和大断面铸坯获得中心致密等轴晶的凝固结构的大压下量铸轧技术方案，有效改善铸坯角部冷却制度，降低角部缺陷产生，同时有效抑制V型偏析的产生，大幅提升连铸坯综合质量，为生产高端特殊钢线材提供保障。
",省级,2017
保定国家高新区生产力促进中心高企服务能力建设,田雪娇,保定国家高新技术产业开发区生产力促进中心,协助科技部门筛选辖区内符合条件的企业纳入省高企后备培育库，并开展培育工作。,省级,2017
3S科技企业孵化器建设,田玉伟,保定同方智慧园区运营有限公司,3S双创社区是一个高科技创新创业基地。是以服务+投资为特点的3.0模式孵化器，采用“业务对接+组合投资”协同创业孵化模式，立志于快速促进创业者能力成长和业务发展，致力于打造一个科技与产业资本的对接平台，推动京津冀产业升。3S是指生产、生活、生态，采用产城融合社区建设理念，打造激励人们热爱工作、热爱创业的和谐社区。3S除了为入驻企业提供完善的办公环境外，还为创业者提供细致周到的创业服务和多场丰富实战的创业活动助力创业成长，加强与高校的合作成立创客实践教育中心。,省级,2017
冀西北优质粗饲料品种筛选及配套技术研究与示范推广,通文海,张家口市农业科学院,"     青贮饲料是我国草食家畜动物养殖中的重要饲料。青贮饲料保证了草食家畜在一年四季中都可以得到青饲料的供应，对草食家畜的发展起到举足轻重的作用。
   1.本项目立足张家口市农业科学院自有品种及收集其他科研院所优质青贮玉米、饲用燕麦、饲用谷草等品种进行适应性筛选及配套技术研究；
   2.研发青贮玉米、饲用燕麦、饲用谷草等优质饲草高效种植、周年生产技术；
   3.研究青贮玉米、饲用燕麦、饲用谷草等水肥减施及水肥一体化运筹与协同技术；研究青贮玉米、青贮燕麦、饲用谷草等饲草节水节肥高效栽培技术；
   4.研发新的粗饲料资源；
   5.进行青贮玉米、饲用燕麦、饲用谷草等优质饲草筛选及配套技术研究集成；
   6.进行青贮玉米、饲用燕麦、饲用谷草等优质饲草品种技术集成示范推广。",省级,2019
面对5G通讯新型微纳环行器开发,汪蔚,河北美泰电子科技有限公司,环行器是利用微纳制造技术制造面向收发通信系统领域的关键元器件，主要应用于手机、弹载、卫星等收发通讯系统中。当下，5G移动通信技术是全球各国最热门的研究领域之一，它是物联网、智慧城市等的重要基础，它的影响覆盖各个领域。未来的5G通讯建设，仅中国通信基站的市场规模约为数千亿元以上，对于射频系统总体需求量在百亿元以上，目前环行器多为传统结构，高频段损耗严重，体积大，极大限制了5G通讯设备的研发使用进展。本项目产品以满足我国移动通信基站对高频环行器的工程化应用需求为出发点，基于微机电（MEMS）加工工艺，突破高精度ICP刻蚀技术、高频小损耗设计等关键技术，形成新型微纳环行器的工艺流程，自主研发满足5G移动通信用的高频、小体积、低成本、高性能环行器并与中兴移动共同完成基站用新型微纳环行器的测试。同时从新型微纳环行器产品成品率和批量化生产等因素，在MEMS圆片工艺和新型微纳环行器装配测试等方面开展降低成本的技术研究，逐步降低基站用新型微纳环行器的成本，满足基站对核心射频元器件低成本、大批量的迫切需求。,省级,2018
新能源电解制氢与燃料电池充放电全产业链单/双向变换器研究,王宝诚,燕山大学,"1）本项目以高效电解制氢、用氢为目标，聚焦电解制氢变换器、燃料电池变换器。

2）产业推动的目标是应用高频PWM电源彻底取代晶闸管电源，解决高频电源应用的可靠性问题，结合燃料电池的系列变换器器开发，实现氢能全产业链变换器性能提升与改进。

3）适应低谷电制氢/新能源制氢供电系统特点，研究适应宽输入范围、低压大电流输出、高可靠性电解电源拓扑；结合目前燃料电池的发展，研究适应燃料电池电压范围宽、低电流纹波需求、输出特性软等特性的变流器；应用模块组合提高其功率等级及对不同设备的适应性，保障运行冗余性。

4）考虑系统协调控制，从电解过程看，电网或可再生能源供电系统/变换器/电解槽系统，或是燃料电池综合供电/驱动系统，通过单元建模分析耦合关系，开展级联系统匹配特性、多机互联系统稳定性等方面的研究，优化系统响应特性。

5）考虑产业的引导。对燃料电池车载一体化多端口变换器的拓扑、稳定性、协调控制进行研究。为提高能源能量互补及供电可靠性，构建了模块化光燃充放储一体化独立能源基站，研究光伏/变换器/电解槽系统建模、高稳定输出及系统能量调控设计。",省级,2019
钒微合金化新型汽车用精冲钢的研究开发,王宝华,承德钢铁集团有限公司,"        高品质精冲钢生产工艺流程复杂，热轧、冷轧往返工序较多，目前国内精冲产品质量与国外产品差距比较明显，高端的精冲钢材料主要依靠进口。因此结合承钢生产现状，开发新型的高等级汽车用精冲钢，对于拓宽河钢承钢高等级产品种类、提升企业品牌影响力、提高市场和行业竞争力以及国际影响力具有重要意义。精冲是一种高精度、高效的成形方式，近年来在汽车零部件的制备中得到了广泛应用。与传统板料冲裁方法相比，精冲工艺条件更为严苛，对所用板材的要求也更高。除了设备与工艺，最适宜精冲的材料是均匀的“铁素体+球状渗碳体”组织，球状渗碳体或粒状碳物是控制的关键，是获得光洁、高精度冲切面的重要保证，零件复杂度、碳含量越高，内部组织的球化率越是关键因素，而热轧组织作为球化退火初始条件显著影响最终退火组织形貌。本项目进行典型牌号的中高碳精冲钢的合金化设计，依托承钢1780mm热连轧生产线，与东北大学合作，首先在实验室进行化学成分设计，并进行相关的热模拟实验、模拟计算及实验室热轧实验，确定精冲钢相关的物理冶金参数，为合理的制定热轧生产工艺提供依据。在实验室研究基础上，在承钢热连轧生产线上进行工业试生产，进行合理的TMCP工艺控制，开展了热轧组织及性能调控。
",省级,2019
基于大数据的工业场所火灾风险预测系统研究,王滨滨,中国人民警察大学,"       本项目以典型工业场所为例，开发工业场所火灾风险预测系统，在系统中，对当前消防监督检查中应依据的法律、法规及消防技术规范进行分类及量化，建立数据库，以数据库为基础，确定工业场所消防监督检查采集指标，并探索各指标与各行业数据系统的连接方案，对处于现场不确定性内容的检查项目，借助大数据和云计算平台进行进一步分析，设定判定标准，建立工业火灾风险评估指标体系，最终得出综合判定结果。选取一典型工业场所进行实践。通过此系统以法律、法规及技术规范为基础，借助大数据和云计算平台，通过动态的数据采集，可较为科学的客观、动态的进行工业场所火灾风险综合判定。

",省级,2018
苹果有机肥滴灌技术应用与示范,王波,顺平县顺安绿生农业科技开发有限公司,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span></p><p style=""text-indent: 32px; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size: 16px"">立足苹果园滴灌系统，</span><span style=""font-size: 16px"">利用沼气罐生物发酵技术，实现固态有机物的无害化处理与液化；通过多级过滤并入园区滴灌系统，实现有机肥的绿色高效施用。为我省乃至全国苹果施肥技术升级提供样板。</span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span><br></p>",省级,2021
河北文化产业大数据平台,王春蕊,河北省社会科学院,    本项目针对当前我省文化产业数据统计时效“滞后”，行业数据不清的“短板”，适应当前“互联网+”的新趋势，整合全省分散的文化资料和数据资料，通过搭建省、市、县三级平台和制度设计，实现文化系统内部数据信息资源的填报汇总工作，重点采集十大文化产业、文化企业、文化示范基地和园区、文化资源信息等领域的数据资料，并对所收集的数据进行统计、归类以及大数据分析，将分析结果具象化，以图表、报表等多种形式展示，实现对全省重点领域文化资料的系统分析和日常管理，为政府部门制定决策提供依据和参考。,省级,2017
笼养蛋鸡暗斑性状遗传改良配套技术研究,王德贺,河北农业大学,"<p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-family: 宋体; font-size: 16px;""></span></p><p style=""text-indent: 32px; line-height: 29px; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size:16px;font-family:STKaiti"">随着鸡蛋产量的增加，人们对蛋品质的要求逐渐增高。暗斑蛋由于在不同品种和群体蛋鸡的普遍性、较差的外观品质和食品安全风险越来越受消费者的抵制。申请人前期对暗斑蛋的表型、影响因素、分布发生规律、蛋壳和蛋壳膜结构变异等进行了系统研究，发现蛋壳膜蛋白含量低、厚度薄、韧性差可能是暗斑形成的主要原因。计算出暗斑遗传力为0.22，并通过GWAS找到170个显著或潜在显著影响暗斑性状的SNP位（31个基因）。本项目拟在该基础上，通过对商品配套系“农大5号”的终端父本（矮小白）和母本父母系（洛岛红/白）进行选育，选育出“无暗斑”的配套系。主要包括：①通过对3个纯系鸡蛋暗斑表型收集，SNP分型，计算不同位点对暗斑表型的效应值，估计个体育种值并组建G1群体②挑选暗斑效应值高的SNP位点，对公母鸡分型，结合同胞表型信息，挑选公鸡组成G1父系，并与高育种值母本交配产生G2群体，同时生产终端母本③对G2群体进行生产性能测定，在40wk时测量群体暗斑表型，估计遗传进展。④对G2中矮小白公鸡和终端母本候选SNP分型，交配产生商品代，对商品代生产性能测定，<span style=""font-family: STKaiti; text-indent: 32px;"">并分析40wk时暗斑表型，<span style=""font-family: STKaiti; text-indent: 32px;"">评价暗斑选育效果。</span></span></span></p><p style=""font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><span style=""font-size:16px;font-family:STKaiti""></span></p><p style=""line-height: 29px; font-size: 16px; font-family: 宋体, SimSun; margin-bottom: 0px; margin-top: 0px;""><br></p>",省级,2020
马铃薯甘薯现代种业科技创新团队,王登社,雪川农业集团股份有限公司,"团队以“现代育种技术集成及马铃薯、甘薯突破性品种选育”为目标，下设四个方向。
        方向一，抗病马铃薯种质资源创制及品种选育。拟建立田间抗病鉴定圃，结合室内抗病性鉴定方法，对马铃薯种质资源以及后代材料进行抗病性综合评估，筛选抗病资源，通过2n配子、倍性育种、常规育种与分子辅助育种、嫁接融合育种等技术手段，进行遗传改良，创制抗病资源，选育抗病品种。
        方向二，抗旱马铃薯优异种质资源创制与新品种培育。拟通过种质资源筛选、育种材料创制、新品种选育、配套栽培技术研究四个子方向，采用先进的育种手段，创制优良育种材料，选育抗旱优质的马铃薯新品种，并进行示范推广。
        方向三，加工型马铃薯新品种选育和产业化示范。拟通过“现代分子育种技术集成”、“特色加工型新品种选育和评价”、“抗病基因挖掘与应用”三个子方向，构建马铃薯种质性状快速标记和筛选技术，建立种薯和商品薯加工性状验证方法，选育出加工型新品种，并进行示范推广。
        方向四，甘薯种质资源创制与新品种选育。以创制优异种质资源，选育综合性状优良、具有突破性甘薯新品种为目标，完成创制甘薯新种质5-15份、选育登记专用型甘薯新品种5-10个，实现甘薯新品种累计推广面积达到2万亩以上。",省级,2021
